Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
FFUNTV,16.54987813231892,23.16680684689637,Gaming,FFUNTV,5.940171252720432,United Arab Emirates,Entertainment,6.0,18.199684897168797,12.678264503855369,12.206077645517674,36.8,16.094881270244645,2.35,0,0,5,6.618265418227213,17.229270674644287,15.085130924464359,0.8678899576471243,0.012903404835907888
Mobile Legends: Bang Bang,16.54987813231892,21.15738842407425,Gaming,Mobile Legends: Bang Bang,7.4073177104694174,United States,Games,147.0,17.829530446375234,12.308182383129823,11.51293546492023,88.2,19.609254155938732,14.7,0,0,7,4.617437543717123,13.750678760228887,14.745270570433881,0.8245899991756934,0.006472514505617462
Roman Atwood Vlogs,16.54987813231892,22.42238062917574,People & Blogs,Roman Atwood Vlogs,7.471363088187097,United States,People,147.0,14.27483297057489,8.748463629942055,12.206077645517674,88.2,19.609254155938732,14.7,1,0,10,5.875314422372378,14.951587175874145,11.174665631549477,0.8245899991756934,0.012903404835907888
Mrwhosetheboss,16.54987813231892,22.041300088668624,Science & Technology,Mrwhosetheboss,7.363913501405819,United Kingdom,Tech,24.0,18.937669343508905,13.416227799687384,12.899222326086994,60.0,18.0177285657893,3.85,0,0,12,5.495535527401702,14.678020923539137,15.830000293115896,0.8365199929587164,0.025642430613337645
Genierock,16.54987813231892,23.401830302016343,Music,Genierock,7.453561871643373,Thailand,Music,11.0,18.231914476551975,12.710480720812354,11.51293546492023,49.3,18.05864262960575,0.75,0,0,15,6.853009065325896,15.94884809092356,15.137693240169822,0.506919999605892,0.006472514505617462
zayn,16.54987813231892,22.314476222558035,Music,zayn,3.091042453358316,United States,Music,147.0,17.420736654262257,11.899554278732099,11.51293546492023,88.2,19.609254155938732,14.7,0,0,7,5.767729901489092,19.26995378890819,14.340002964349965,0.8245899991756934,0.006472514505617462
Kerajinan 5-Menit,16.54987813231892,22.281498887293235,People & Blogs,Kerajinan 5-Menit,8.339739766019143,Indonesia,Howto,23.0,16.79815764262817,11.277215789596893,12.206077645517674,36.3,19.41468748375534,4.69,1,0,5,5.734857394903711,13.941998865261624,13.697065928502965,0.5607236404348646,0.012903404835907888
FC Barcelona,16.54336345172214,21.700285921529,Sports,FC Barcelona,9.304650051446924,Spain,Sports,11.0,18.256595894924672,12.73523217148465,12.206077645517674,88.9,17.667290486278546,13.96,0,0,17,5.1626654096552365,12.395731010154462,15.16238844677131,0.8056500082280477,0.012987195526811157
Dave and Ava - Nursery Rhymes and Baby Songs,16.54336345172214,23.094830724661907,Education,Dave and Ava - Nursery Rhymes and Baby Songs,6.747586526829315,United States,Education,148.0,18.160004067706506,12.638507446509221,12.206077645517674,88.2,19.609254155938732,14.7,1,0,9,6.552894338230771,16.348418675422902,15.0593195590715,0.8245899991756934,0.012987195526811157
LOKESH GAMER,16.54336345172214,21.218009672771856,Gaming,LOKESH GAMER,7.242797922793756,India,Games,101.0,15.593847175779093,10.073272520325904,12.206077645517674,28.1,21.035458374912988,5.36,1,0,6,4.683931865350321,13.975928164693533,12.49275797139508,0.34471999988372515,0.012987195526811157
ILYA BORZOV,16.54336345172214,23.019713278634626,People & Blogs,ILYA BORZOV,7.685243607975833,Russia,People,8.0,19.98001413092254,14.45736497045232,13.592368256649284,81.9,18.78791449892918,4.59,0,0,2,6.477888127963652,15.334929553850246,16.87890152672105,0.7458700031137978,0.05096644359202753
Mazhavil Manorama,16.54336345172214,23.529408170873193,Entertainment,Mazhavil Manorama,11.383556824628947,India,Entertainment,100.0,19.705725574944314,14.151983508870947,12.611541086966115,28.1,21.035458374912988,5.36,0,0,12,6.986969053864532,12.145868037627817,16.60667572712668,0.34471999988372515,0.019418085857101582
Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,16.536806051605975,20.569794926856677,People & Blogs,Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,5.272999558563747,India,Film,100.0,17.995726974555534,12.474193386571581,14.077875591662238,28.1,21.035458374912988,5.36,0,0,6,4.05055503158327,15.301936992806981,14.881565563436624,0.34471999988372515,0.08206495305430422
The MriDul,16.536806051605975,22.2282052789438,Comedy,The MriDul,4.672828834461906,India,Comedy,102.0,18.4038295670383,12.882330501005024,12.206077645517674,28.1,21.035458374912988,5.36,0,0,8,5.694768478057458,17.564766208144963,15.298251044367147,0.34471999988372515,0.01307208156735277
