Youtuber,subscribers,video views,category,Title,uploads,Country,channel_type,country_rank,video_views_for_the_last_30_days,highest_monthly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,subscribers_for_last_30_days_missing,country_rank_missing,channel_age,views_per_subscriber,views_per_upload,earnings_spread,urban_ratio,subscriber_growth_rate
elcarteldesantatv,0.005391450471077697,0.8693878222500384,Music,elcarteldesantatv,0.47043002476828855,Mexico,Entertainment,33.0,0.8156286953654505,0.7942832755080618,0.7117436549793702,40.2,0.7534040881753246,3.42,0,0,0.2692307692307693,0.825101396798495,0.6959232480159252,0.8210318165518261,0.7748388684508181,0.027098914360904024
Family Fitness,0.005391450471077697,0.8818856870536104,Entertainment,Family Fitness,0.5896042680689207,India,Entertainment,123.0,0.8480285486757745,0.8375178360037273,0.8029359086062672,28.1,0.9976791355194754,5.36,0,0,0.09615384615384616,0.867198390151324,0.6471099816961983,0.8582520250658592,0.2050100546163604,0.10712390888002275
Zee Tamil,0.005391450471077697,0.8859589757143869,Entertainment,Zee Tamil,0.9146850469353104,India,Entertainment,123.0,0.8660586139999837,0.8615819437339282,0.7573396995666664,28.1,0.9976791355194754,5.36,0,0,0.2692307692307693,0.8809224534657092,0.4816561838416407,0.8794660399093014,0.2050100546163604,0.053983681635535595
Flowers Comedy,0.005391450471077697,0.8864159564488371,Entertainment,Flowers Comedy,0.7439003142418967,India,Entertainment,122.0,0.8357290489140827,0.8211062507740629,0.7117436549793702,28.1,0.9976791355194754,5.36,0,0,0.13461538461538464,0.8824622527860105,0.5713821039055442,0.8437521528672017,0.2050100546163604,0.027098914360904024
Mundo Bita,0.005391450471077697,0.9000295386641273,Music,Mundo Bita,0.43891739440047006,Brazil,Music,54.0,0.8435545373694515,0.8315458948493322,0.7117436549793702,51.3,0.8069853740217376,12.08,0,0,0.21153846153846156,0.9283413675687168,0.7456276591841191,0.8533545380306048,0.8326655367243903,0.027098914360904024
Wave Music Bhakti,0.005391450471077697,0.8550383734213488,Music,Wave Music Bhakti,0.7846036830605495,India,Music,123.0,0.7085122651052647,0.6513476085968948,0.7573396995666664,28.1,0.9976791355194754,5.36,1,0,0.21153846153846156,0.7767966675222875,0.516131294624087,0.6960993301004031,0.2050100546163604,0.053983681635535595
Troom Troom Indonesia,0.005391450471077697,0.856736450538833,People & Blogs,TROOM TROOM INDONESIA,0.17416324171384165,Unknown,People,-1.0,0.0,0.0,0.7573396995666664,68.0,0.8515167182046919,9.02,1,1,0.038461538461538464,0.7825109261784634,0.8417767704719401,0.0025887146234688106,0.7871914495325427,0.053983681635535595
CKM,0.005391450471077697,0.8496171817075979,Comedy,CKM,0.3781488282816438,India,Comedy,123.0,0.7163040842285242,0.6618025134693377,0.7573396995666664,28.1,0.9976791355194754,5.36,1,0,0.07692307692307693,0.7585578793109559,0.7229665697248965,0.7051557217728555,0.2050100546163604,0.053983681635535595
Quantum Tech HD,0.005391450471077697,0.8485267066565334,Science & Technology,Mr_Mughall Gaming,0.4289547045489666,Pakistan,Entertainment,3554.0,0.38239825351295814,0.21816695945603742,0.18440970481972296,9.0,0.8088988070820926,4.45,0,0,0.0,0.7548899794301498,0.6950743159320851,0.31709397287852564,0.23455163313827027,8.629881712238924e-06
_vector_,0.0027065952123104253,0.8699330471638412,Comedy,_vector_,0.4747156688594842,United States,Comedy,176.0,0.9093477871051986,0.919081353066191,0.8752043411258481,88.2,0.8515167182046919,14.7,0,0,0.057692307692307696,0.8279717529763299,0.6942688966561577,0.9296705987504197,0.7871914495325427,0.3141528421613524
